font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Forestry,geosiana-marker_forestry,U+00DF,ß,germandbls,svg/geosiana-marker_forestry/u00DF-germandbls.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E0,à,agrave,svg/geosiana-marker_forestry/u00E0-agrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E1,á,aacute,svg/geosiana-marker_forestry/u00E1-aacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E2,â,acircumflex,svg/geosiana-marker_forestry/u00E2-acircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E3,ã,atilde,svg/geosiana-marker_forestry/u00E3-atilde.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E4,ä,adieresis,svg/geosiana-marker_forestry/u00E4-adieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E5,å,aring,svg/geosiana-marker_forestry/u00E5-aring.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E6,æ,ae,svg/geosiana-marker_forestry/u00E6-ae.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E7,ç,ccedilla,svg/geosiana-marker_forestry/u00E7-ccedilla.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E8,è,egrave,svg/geosiana-marker_forestry/u00E8-egrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00E9,é,eacute,svg/geosiana-marker_forestry/u00E9-eacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00EA,ê,ecircumflex,svg/geosiana-marker_forestry/u00EA-ecircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00EB,ë,edieresis,svg/geosiana-marker_forestry/u00EB-edieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00EC,ì,igrave,svg/geosiana-marker_forestry/u00EC-igrave.svg
Geosiana Forestry,geosiana-marker_forestry,U+00ED,í,iacute,svg/geosiana-marker_forestry/u00ED-iacute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00EE,î,icircumflex,svg/geosiana-marker_forestry/u00EE-icircumflex.svg
Geosiana Forestry,geosiana-marker_forestry,U+00EF,ï,idieresis,svg/geosiana-marker_forestry/u00EF-idieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00F0,ð,eth,svg/geosiana-marker_forestry/u00F0-eth.svg
